2019-04-26 01:26:56.975697 3.7, 0.0, 0.0, 31.6, 1.3, 0.0, 1.2, 0.0, 0.0, 0.0, 0.0, 0.0, 1.2, 0.0, 0.0, 0.0, 0.0 
 2019-04-26 01:26:58.526828 1.3, 0.0, 0.0, 0.0, 0.0, 0.6, 0.0, 0.0, 0.6, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.6, 0.0 
 2019-04-26 01:27:00.089838 1.9, 0.0, 1.3, 0.0, 0.0, 0.0, 0.0, 0.0, 1.3, 0.6, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0 
 2019-04-26 01:27:01.655618 25.5, 14.0, 13.2, 0.6, 16.2, 6.5, 13.7, 6.5, 6.0, 3.2, 0.0, 0.6, 15.2, 0.0, 13.2, 0.0, 24.0 
 2019-04-26 01:27:03.215171 71.7, 67.8, 60.0, 49.4, 74.5, 23.7, 68.2, 51.9, 63.5, 52.5, 47.8, 31.4, 78.5, 17.7, 66.7, 13.2, 71.3 
 2019-04-26 01:27:04.845080 21.1, 30.6, 14.8, 18.1, 37.1, 1.9, 20.4, 16.2, 17.8, 22.7, 16.7, 21.8, 53.3, 21.2, 17.4, 21.2, 25.5 
 2019-04-26 01:27:06.406662 58.2, 60.0, 43.9, 53.5, 61.2, 25.9, 60.4, 54.1, 51.3, 53.8, 52.9, 51.7, 78.4, 53.5, 52.6, 52.9, 57.0 
 2019-04-26 01:27:08.019168 55.4, 52.9, 51.6, 52.6, 68.6, 51.9, 54.5, 54.4, 51.6, 53.8, 50.0, 51.3, 81.1, 52.9, 52.8, 50.3, 54.8 
 2019-04-26 01:27:09.636169 73.6, 8.1, 68.2, 68.9, 83.2, 42.4, 69.8, 69.4, 71.2, 69.1, 68.5, 69.5, 89.8, 69.3, 67.3, 41.3, 74.3 
 2019-04-26 01:27:11.206365 47.7, 61.1, 32.0, 54.3, 53.7, 55.0, 63.0, 53.0, 51.4, 55.3, 52.7, 54.3, 84.9, 55.8, 53.1, 55.6, 55.6 
