2019-04-26 00:21:00.263134 1.2, 41.9, 2.4 
 2019-04-26 00:21:01.829315 2.6, 1.5, 1.3 
 2019-04-26 00:21:03.380872 1.2, 0.7, 1.9 
 2019-04-26 00:21:04.989376 50.3, 54.2, 51.2 
 2019-04-26 00:21:06.766460 83.7, 99.1, 94.4 
 2019-04-26 00:21:10.094522 89.4, 98.7, 95.3 
 2019-04-26 00:21:13.337047 89.3, 99.0, 95.0 
 2019-04-26 00:21:16.557349 87.9, 99.0, 94.7 
 2019-04-26 00:21:19.608582 89.4, 99.3, 95.1 
 2019-04-26 00:21:22.726771 87.0, 99.4, 94.0 
 2019-04-26 00:21:25.904646 85.8, 99.3, 93.0 
 2019-04-26 00:21:28.944363 84.7, 99.7, 92.2 
 2019-04-26 00:21:32.191898 84.8, 98.4, 92.4 
 2019-04-26 00:21:35.572060 90.0, 97.6, 96.7 
 2019-04-26 00:21:38.379994 87.0, 88.8, 98.5 
 2019-04-26 00:21:40.486964 91.6, 95.0, 99.1 
 2019-04-26 00:21:42.765050 95.0, 89.9, 99.0 
 2019-04-26 00:21:44.824890 95.7, 87.1, 99.0 
 2019-04-26 00:21:46.934094 94.2, 87.3, 98.4 
 2019-04-26 00:21:48.860655 94.8, 87.6, 99.6 
 2019-04-26 00:21:51.180000 84.1, 80.6, 98.3 
 2019-04-26 00:21:53.019496 92.9, 86.1, 98.4 
 2019-04-26 00:21:54.994717 94.5, 82.2, 98.9 
 2019-04-26 00:21:56.856782 95.5, 96.9, 98.6 
 2019-04-26 00:21:59.799191 96.3, 98.0, 98.9 
 2019-04-26 00:22:02.587072 96.6, 98.9, 97.6 
 2019-04-26 00:22:05.569031 92.8, 95.8, 96.8 
 2019-04-26 00:22:08.692976 62.1, 85.3, 75.3 
 2019-04-26 00:22:10.545142 61.1, 74.0, 72.9 
 2019-04-26 00:22:12.449577 59.2, 74.8, 72.2 
 2019-04-26 00:22:14.235694 60.6, 73.2, 71.8 
 2019-04-26 00:22:16.014649 56.0, 70.9, 67.8 
 2019-04-26 00:22:17.761453 57.1, 68.4, 72.2 
 2019-04-26 00:22:19.494593 59.8, 73.9, 71.8 
 2019-04-26 00:22:21.250522 59.2, 70.7, 74.3 
 2019-04-26 00:22:23.087893 59.3, 76.0, 72.4 
 2019-04-26 00:22:24.816653 53.5, 80.4, 61.4 
 2019-04-26 00:22:26.543252 56.0, 87.1, 53.9 
 2019-04-26 00:22:28.297545 61.0, 70.1, 68.9 
 2019-04-26 00:22:30.060330 57.7, 68.8, 63.5 
 2019-04-26 00:22:31.780128 65.9, 71.8, 65.0 
 2019-04-26 00:22:33.550497 58.4, 75.8, 64.7 
 2019-04-26 00:22:35.398448 13.1, 6.8, 16.1 
 2019-04-26 00:22:36.954917 1.3, 0.7, 2.6 
 2019-04-26 00:22:38.518682 0.6, 0.7, 1.9 
 
