2019-04-26 00:41:55.416204 34.6, 2.5, 0.0, 0.0, 0.0 
 2019-04-26 00:41:56.974250 2.6, 0.0, 0.0, 1.3, 0.0 
 2019-04-26 00:41:58.524966 1.9, 0.0, 2.2, 0.6, 0.0 
 2019-04-26 00:42:00.089022 40.0, 31.8, 32.8, 3.7, 52.8 
 2019-04-26 00:42:01.706628 64.1, 63.9, 83.3, 25.8, 89.7 
 2019-04-26 00:42:03.366851 64.5, 67.7, 55.2, 73.4, 95.7 
 2019-04-26 00:42:05.064650 52.9, 70.7, 55.8, 69.7, 91.3 
 2019-04-26 00:42:06.707718 59.4, 70.9, 93.6, 26.8, 93.7 
 2019-04-26 00:42:08.465052 61.5, 66.9, 73.4, 62.3, 89.3 
 2019-04-26 00:42:10.159989 51.2, 68.5, 96.0, 46.1, 94.9 
 2019-04-26 00:42:11.872008 70.6, 33.1, 90.5, 43.7, 88.7 
 2019-04-26 00:42:13.541027 63.4, 74.8, 83.2, 64.4, 96.3 
 2019-04-26 00:42:15.250853 63.3, 70.2, 92.8, 30.6, 93.1 
 2019-04-26 00:42:17.064028 69.9, 72.8, 76.8, 38.3, 90.0 
 2019-04-26 00:42:18.712877 68.8, 66.9, 89.7, 28.4, 94.3 
 2019-04-26 00:42:20.584731 70.7, 70.2, 62.9, 75.0, 91.7 
 2019-04-26 00:42:22.292967 63.5, 58.7, 82.8, 69.9, 94.4 
 2019-04-26 00:42:24.003066 68.3, 43.9, 90.0, 46.5, 91.3 
 2019-04-26 00:42:25.792764 68.6, 71.5, 67.1, 67.7, 93.4 
 2019-04-26 00:42:27.456433 63.4, 65.9, 95.2, 28.0, 93.1 
 2019-04-26 00:42:29.324130 75.6, 75.5, 73.8, 72.0, 75.4 
 2019-04-26 00:42:31.008606 64.2, 64.6, 96.1, 30.2, 96.4 
 2019-04-26 00:42:32.740156 69.0, 37.7, 88.4, 53.9, 90.1 
 2019-04-26 00:42:34.411826 78.6, 80.4, 85.3, 59.7, 95.1 
 2019-04-26 00:42:36.330474 71.4, 74.7, 91.5, 16.6, 91.4 
 2019-04-26 00:42:38.013022 72.2, 78.5, 69.4, 76.4, 95.2 
 2019-04-26 00:42:39.780665 73.8, 80.5, 81.7, 73.8, 92.5 
 2019-04-26 00:42:41.593040 72.2, 70.0, 89.9, 33.1, 92.3 
 2019-04-26 00:42:43.292018 77.5, 77.3, 75.5, 73.2, 91.9 
 2019-04-26 00:42:45.051269 76.5, 74.5, 73.1, 78.7, 95.1 
 2019-04-26 00:42:46.753289 71.8, 75.5, 61.3, 68.6, 93.7 
 2019-04-26 00:42:48.439690 77.7, 74.2, 94.5, 38.2, 94.9 
 2019-04-26 00:42:50.316740 69.8, 75.8, 58.7, 76.4, 94.5 
 2019-04-26 00:42:52.019174 78.7, 74.7, 69.8, 79.5, 95.8 
 2019-04-26 00:42:53.776758 79.1, 74.4, 62.5, 79.5, 96.8 
 2019-04-26 00:42:55.452401 71.5, 54.8, 90.3, 47.5, 92.4 
 2019-04-26 00:42:57.133039 74.0, 55.3, 95.0, 60.0, 92.3 
 2019-04-26 00:42:58.977338 70.1, 78.4, 93.3, 49.4, 92.6 
 2019-04-26 00:43:00.735497 67.1, 76.8, 85.8, 55.1, 92.3 
 2019-04-26 00:43:02.581036 57.1, 64.1, 71.1, 59.7, 78.1 
 2019-04-26 00:43:04.239874 31.9, 35.7, 73.2, 16.9, 62.1 
 2019-04-26 00:43:05.880599 25.2, 29.8, 61.9, 40.3, 58.0 
 2019-04-26 00:43:07.532328 35.8, 13.1, 69.4, 23.6, 66.7 
 2019-04-26 00:43:09.168282 45.2, 22.2, 68.5, 14.5, 61.7 
 2019-04-26 00:43:10.818511 17.5, 31.8, 65.8, 36.5, 60.2 
 2019-04-26 00:43:12.460453 18.4, 44.1, 67.3, 13.5, 54.2 
 2019-04-26 00:43:14.110985 10.6, 34.8, 86.8, 43.6, 66.7 
 2019-04-26 00:43:15.744118 32.1, 43.9, 72.3, 16.0, 68.1 
 2019-04-26 00:43:17.416978 40.0, 0.6, 10.5, 57.8, 67.5 
 2019-04-26 00:43:19.026911 42.9, 30.0, 36.2, 14.4, 60.3 
 2019-04-26 00:43:20.632643 41.4, 44.4, 56.7, 17.0, 64.4 
 2019-04-26 00:43:22.313675 37.2, 36.4, 37.4, 46.0, 70.3 
 2019-04-26 00:43:23.949202 22.9, 21.3, 74.8, 41.3, 66.4 
 2019-04-26 00:43:25.550904 32.1, 16.1, 54.8, 29.3, 60.2 
 2019-04-26 00:43:27.225304 53.9, 15.8, 52.6, 2.5, 58.6 
 2019-04-26 00:43:28.840306 28.5, 35.2, 50.0, 16.7, 49.2 
 2019-04-26 00:43:30.473630 11.2, 7.7, 2.4, 11.2, 11.3 
 2019-04-26 00:43:32.067585 1.9, 0.6, 0.7, 0.0, 0.0 
 2019-04-26 00:43:33.613633 1.3, 0.6, 0.7, 0.0, 0.6 
 
