2019-04-26 01:14:01.675005 0.0, 0.0, 0.0, 0.0, 0.0, 1.2, 0.0, 0.0, 0.0, 0.0, 1.2, 0.0, 0.0, 0.0, 0.0, 32.1, 0.0 
 2019-04-26 01:14:03.235523 0.0, 0.7, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.6, 0.0, 0.0, 0.0, 0.0, 0.6, 1.3 
 2019-04-26 01:14:04.797930 0.6, 0.7, 0.0, 0.6, 0.0, 0.0, 0.6, 0.0, 0.0, 0.0, 0.6, 0.0, 0.0, 0.0, 0.0, 0.0, 1.3 
 2019-04-26 01:14:06.397743 19.7, 0.0, 14.2, 0.0, 14.4, 0.0, 10.1, 2.5, 17.0, 0.0, 5.2, 0.0, 12.5, 6.3, 5.8, 0.0, 23.0 
 2019-04-26 01:14:07.974578 54.4, 40.1, 39.7, 26.6, 54.2, 35.5, 42.0, 41.6, 39.9, 23.4, 27.8, 17.4, 70.8, 12.3, 24.2, 0.6, 54.4 
 2019-04-26 01:14:09.552135 50.7, 45.1, 34.2, 34.0, 80.5, 38.6, 38.0, 36.6, 34.6, 35.5, 14.4, 35.9, 69.5, 0.6, 34.6, 0.6, 52.3 
 2019-04-26 01:14:11.168337 61.1, 58.5, 47.7, 51.3, 76.4, 50.3, 56.1, 51.7, 48.6, 51.7, 49.7, 51.0, 63.3, 28.8, 51.0, 0.6, 59.1 
 2019-04-26 01:14:12.748368 43.8, 46.4, 39.0, 40.3, 72.2, 35.9, 36.0, 38.4, 34.7, 29.5, 36.8, 40.8, 86.1, 37.7, 35.9, 9.0, 42.5 
 2019-04-26 01:14:14.327799 55.0, 60.4, 51.3, 42.3, 82.5, 54.1, 54.2, 55.1, 53.2, 1.9, 53.8, 52.3, 80.7, 51.0, 51.9, 52.6, 55.6 
 2019-04-26 01:14:15.928328 49.3, 45.2, 36.0, 36.8, 72.1, 23.0, 37.2, 35.8, 35.3, 35.8, 22.7, 35.3, 78.9, 0.0, 34.9, 36.2, 47.6 
 2019-04-26 01:14:17.513045 56.7, 60.7, 49.0, 53.6, 80.9, 35.5, 51.3, 52.3, 52.0, 52.6, 51.6, 53.3, 82.8, 0.6, 51.0, 52.3, 55.3 
 2019-04-26 01:14:19.103512 41.2, 43.4, 31.4, 37.9, 75.2, 40.3, 34.4, 37.7, 34.6, 37.5, 33.5, 37.7, 77.2, 0.6, 34.4, 38.7, 42.0 
 2019-04-26 01:14:20.687226 55.9, 55.6, 51.7, 53.3, 48.0, 52.4, 52.0, 54.3, 63.2, 53.3, 17.6, 52.1, 86.6, 14.2, 52.0, 54.2, 54.4 
 2019-04-26 01:14:22.255865 34.9, 17.6, 31.2, 34.2, 50.0, 33.1, 37.2, 27.0, 31.8, 32.0, 32.0, 31.5, 81.2, 32.9, 30.5, 32.7, 37.7 
 2019-04-26 01:14:23.847924 43.8, 2.1, 43.9, 38.7, 60.0, 46.8, 58.0, 48.1, 45.9, 45.1, 45.5, 47.8, 87.8, 44.8, 44.5, 45.2, 47.1 
 2019-04-26 01:14:25.455866 49.7, 46.4, 28.5, 42.7, 63.3, 39.2, 40.0, 40.1, 46.3, 39.7, 36.0, 42.7, 64.3, 41.0, 39.6, 12.3, 45.0 
 2019-04-26 01:14:27.106439 40.1, 45.4, 37.5, 37.7, 42.9, 0.6, 35.3, 35.9, 33.3, 34.4, 26.8, 34.4, 85.6, 35.8, 53.2, 35.8, 40.5 
 2019-04-26 01:14:28.688152 51.3, 52.0, 39.9, 43.7, 69.0, 0.0, 50.0, 42.2, 41.8, 43.4, 42.0, 16.4, 34.8, 41.8, 48.6, 39.5, 51.7 
 2019-04-26 01:14:30.278075 36.4, 34.9, 27.8, 28.9, 70.3, 0.6, 42.8, 30.0, 24.8, 28.5, 20.8, 27.8, 84.4, 29.6, 26.9, 3.6, 37.7 
 2019-04-26 01:14:31.943737 62.0, 58.9, 53.3, 24.0, 79.8, 0.0, 61.2, 53.3, 50.0, 53.5, 52.6, 16.7, 59.1, 54.4, 49.3, 52.6, 62.7 
