2019-04-26 00:08:03.274058 3.7, 32.1, 3.2 
 2019-04-26 00:08:04.835253 1.9, 0.7, 0.7 
 2019-04-26 00:08:06.381896 1.9, 1.2, 0.7 
 2019-04-26 00:08:08.006218 48.4, 70.8, 27.1 
 2019-04-26 00:08:09.727236 84.0, 54.5, 90.4 
 2019-04-26 00:08:11.408376 89.3, 98.8, 36.7 
 2019-04-26 00:08:13.168369 87.6, 97.0, 45.5 
 2019-04-26 00:08:14.833085 85.4, 75.8, 75.7 
 2019-04-26 00:08:16.490945 86.2, 49.6, 94.8 
 2019-04-26 00:08:18.227016 86.6, 49.6, 91.7 
 2019-04-26 00:08:19.902786 88.1, 75.5, 78.2 
 2019-04-26 00:08:21.565048 86.5, 41.2, 91.2 
 2019-04-26 00:08:23.307754 86.3, 81.1, 70.2 
 2019-04-26 00:08:24.974423 86.2, 33.6, 93.5 
 2019-04-26 00:08:26.638606 77.3, 83.8, 77.3 
 2019-04-26 00:08:28.374421 87.1, 57.3, 82.8 
 2019-04-26 00:08:30.049074 82.3, 77.2, 77.9 
 2019-04-26 00:08:31.717522 87.0, 42.4, 92.5 
 2019-04-26 00:08:33.418573 87.2, 56.4, 86.2 
 2019-04-26 00:08:35.066454 86.8, 20.4, 99.4 
 2019-04-26 00:08:36.715142 86.7, 32.7, 97.6 
 2019-04-26 00:08:38.411137 87.7, 25.7, 96.9 
 2019-04-26 00:08:40.068902 84.8, 57.9, 92.3 
 2019-04-26 00:08:41.746903 90.7, 32.5, 97.5 
 2019-04-26 00:08:43.479063 97.3, 66.2, 96.1 
 2019-04-26 00:08:45.339446 90.2, 88.9, 59.2 
 2019-04-26 00:08:47.006908 91.4, 42.2, 96.5 
 2019-04-26 00:08:48.695628 97.1, 42.7, 98.7 
 2019-04-26 00:08:50.391496 88.6, 92.5, 52.0 
 2019-04-26 00:08:52.110622 94.3, 65.9, 91.8 
 2019-04-26 00:08:53.883415 94.8, 76.8, 87.9 
 2019-04-26 00:08:55.619545 89.6, 72.2, 77.3 
 2019-04-26 00:08:57.311480 95.5, 75.7, 86.1 
 2019-04-26 00:08:59.102425 92.2, 94.2, 55.8 
 2019-04-26 00:09:00.786174 90.9, 39.6, 95.0 
 2019-04-26 00:09:02.476222 94.7, 97.0, 60.6 
 2019-04-26 00:09:04.184763 89.9, 98.2, 47.0 
 2019-04-26 00:09:05.881228 90.2, 89.0, 57.6 
 2019-04-26 00:09:07.524258 94.0, 91.8, 65.1 
 2019-04-26 00:09:09.242967 90.7, 94.4, 55.9 
 2019-04-26 00:09:10.920629 73.7, 62.3, 87.7 
 2019-04-26 00:09:12.597034 58.2, 25.6, 81.9 
 2019-04-26 00:09:14.265084 60.4, 15.2, 73.3 
 2019-04-26 00:09:15.891065 71.5, 30.6, 58.1 
 2019-04-26 00:09:17.577078 59.4, 21.0, 76.5 
 2019-04-26 00:09:19.244250 64.7, 37.7, 61.4 
 2019-04-26 00:09:20.852189 70.1, 33.9, 58.8 
 2019-04-26 00:09:22.499121 75.3, 10.2, 69.2 
 2019-04-26 00:09:24.148840 53.8, 40.3, 62.7 
 2019-04-26 00:09:25.749755 59.6, 32.8, 75.2 
 2019-04-26 00:09:27.409243 62.0, 14.3, 83.0 
 2019-04-26 00:09:29.126616 63.9, 40.3, 79.7 
 2019-04-26 00:09:30.769353 61.4, 43.3, 74.0 
 2019-04-26 00:09:32.399221 57.7, 25.0, 66.7 
 2019-04-26 00:09:34.131809 59.5, 20.4, 81.6 
 2019-04-26 00:09:35.747555 59.5, 12.6, 86.6 
 2019-04-26 00:09:37.371199 45.6, 22.0, 61.9 
 2019-04-26 00:09:39.015018 1.3, 1.3, 0.7 
 2019-04-26 00:09:40.574633 1.9, 0.7, 0.7 
 2019-04-26 00:09:42.125875 1.3, 0.0, 0.7 
 
