2019-04-26 00:35:27.164765 1.2, 2.4, 42.6, 0.0, 0.0 
 2019-04-26 00:35:28.722819 1.9, 0.0, 0.7, 0.6, 0.0 
 2019-04-26 00:35:30.276645 1.9, 0.0, 1.5, 1.9, 0.6 
 2019-04-26 00:35:31.829045 48.8, 6.4, 18.4, 15.2, 48.3 
 2019-04-26 00:35:33.540322 64.0, 66.3, 52.6, 64.7, 89.7 
 2019-04-26 00:35:35.249832 65.9, 65.3, 89.3, 38.2, 92.5 
 2019-04-26 00:35:37.045096 70.7, 27.8, 92.6, 62.7, 88.7 
 2019-04-26 00:35:38.719634 73.3, 72.5, 89.1, 33.1, 90.8 
 2019-04-26 00:35:40.578892 69.4, 28.1, 90.3, 73.8, 87.7 
 2019-04-26 00:35:42.298101 67.7, 71.4, 85.7, 68.6, 92.6 
 2019-04-26 00:35:44.008286 71.0, 70.8, 86.8, 56.8, 88.2 
 2019-04-26 00:35:45.953049 72.1, 75.2, 51.4, 75.6, 88.7 
 2019-04-26 00:35:47.636910 72.8, 75.0, 87.2, 43.3, 91.6 
 2019-04-26 00:35:49.382714 70.6, 68.3, 90.2, 27.9, 91.2 
 2019-04-26 00:35:51.088119 72.5, 31.7, 88.3, 73.0, 95.5 
 2019-04-26 00:35:52.747755 66.9, 71.7, 71.7, 67.6, 95.9 
 2019-04-26 00:35:54.574526 62.4, 66.4, 79.1, 54.8, 92.2 
 2019-04-26 00:35:56.221039 65.7, 61.0, 93.4, 42.0, 95.3 
 2019-04-26 00:35:57.995426 70.1, 69.4, 89.1, 24.7, 90.1 
 2019-04-26 00:35:59.669030 68.9, 71.5, 94.3, 27.9, 95.0 
 2019-04-26 00:36:01.359509 69.0, 73.1, 93.8, 0.6, 88.9 
 2019-04-26 00:36:02.996160 65.4, 56.9, 89.2, 45.7, 94.3 
 2019-04-26 00:36:04.707693 69.5, 74.0, 72.8, 51.3, 92.8 
 2019-04-26 00:36:06.383289 69.6, 76.2, 85.4, 80.6, 96.5 
 2019-04-26 00:36:08.160716 71.0, 26.6, 91.5, 66.7, 90.1 
 2019-04-26 00:36:09.823903 70.8, 76.8, 86.6, 53.0, 93.9 
 2019-04-26 00:36:11.572107 72.3, 77.6, 80.0, 75.0, 95.6 
 2019-04-26 00:36:13.246405 71.7, 61.8, 84.9, 40.0, 89.5 
 2019-04-26 00:36:14.972517 79.3, 52.6, 95.2, 76.2, 96.5 
 2019-04-26 00:36:16.768057 71.9, 72.8, 90.1, 22.6, 89.9 
 2019-04-26 00:36:18.434906 75.7, 75.0, 96.0, 41.1, 95.2 
 2019-04-26 00:36:20.435374 57.1, 61.9, 90.4, 50.0, 91.5 
 2019-04-26 00:36:22.124282 62.7, 44.7, 92.3, 59.6, 89.7 
 2019-04-26 00:36:23.819119 72.8, 82.4, 88.3, 82.5, 97.6 
 2019-04-26 00:36:25.555995 68.6, 69.5, 86.8, 35.9, 90.1 
 2019-04-26 00:36:27.228592 79.0, 81.5, 76.4, 77.2, 97.3 
 2019-04-26 00:36:29.126653 74.0, 77.2, 58.4, 72.0, 93.5 
 2019-04-26 00:36:30.795932 72.9, 79.5, 77.7, 76.3, 95.6 
 2019-04-26 00:36:32.913030 56.1, 73.1, 89.4, 51.5, 91.7 
 2019-04-26 00:36:34.634525 37.4, 42.1, 87.3, 52.6, 78.0 
 2019-04-26 00:36:36.296206 26.3, 21.4, 84.4, 47.1, 59.1 
 2019-04-26 00:36:37.924232 39.7, 16.0, 72.5, 44.2, 68.7 
 2019-04-26 00:36:39.579690 14.8, 52.4, 69.4, 15.0, 59.8 
 2019-04-26 00:36:41.220052 32.2, 34.6, 42.3, 6.1, 66.4 
 2019-04-26 00:36:42.852678 59.7, 42.7, 29.5, 0.0, 58.8 
 2019-04-26 00:36:44.487134 38.0, 49.4, 71.2, 6.8, 66.4 
 2019-04-26 00:36:46.121867 31.1, 35.9, 35.5, 20.8, 68.9 
 2019-04-26 00:36:47.761184 30.3, 30.5, 39.8, 20.4, 49.2 
 2019-04-26 00:36:49.388570 48.7, 26.5, 63.7, 4.9, 59.8 
 2019-04-26 00:36:51.017100 40.9, 46.1, 75.4, 1.2, 66.4 
 2019-04-26 00:36:52.642573 29.8, 37.2, 44.2, 41.9, 60.2 
 2019-04-26 00:36:54.290446 33.3, 4.1, 69.8, 42.4, 64.9 
 2019-04-26 00:36:55.980551 37.7, 38.2, 48.4, 33.5, 52.0 
 2019-04-26 00:36:57.638897 55.5, 42.4, 53.0, 24.0, 17.1 
 2019-04-26 00:36:59.247968 39.3, 36.6, 62.3, 19.1, 58.6 
 2019-04-26 00:37:00.928298 31.8, 19.2, 63.2, 29.6, 58.5 
 2019-04-26 00:37:02.564882 2.6, 0.0, 0.8, 2.0, 1.3 
 2019-04-26 00:37:04.114352 1.9, 1.2, 0.0, 0.0, 0.6 
 2019-04-26 00:37:05.737868 1.3, 0.0, 0.7, 1.3, 0.0 
 
