2019-04-26 00:59:35.489535 0.0, 1.6, 1.2, 1.2, 0.0, 11.9, 0.0, 30.5, 0.0 
 2019-04-26 00:59:37.070972 0.0, 0.0, 0.0, 0.0, 1.3, 1.3, 0.6, 0.0, 0.0 
 2019-04-26 00:59:38.624999 0.0, 0.7, 1.2, 0.0, 0.0, 1.8, 0.6, 0.0, 0.6 
 2019-04-26 00:59:40.257991 10.1, 29.8, 2.6, 0.0, 55.4, 41.4, 1.3, 33.1, 7.7 
 2019-04-26 00:59:41.814133 32.7, 62.3, 0.6, 14.6, 98.7, 66.2, 1.2, 54.8, 36.1 
 2019-04-26 00:59:43.435119 10.0, 37.0, 0.0, 48.4, 100.0, 65.9, 0.0, 49.7, 2.9 
 2019-04-26 00:59:45.182480 31.5, 39.4, 0.6, 61.3, 99.3, 58.6, 0.0, 31.8, 30.7 
 2019-04-26 00:59:46.751116 25.1, 36.1, 0.0, 53.5, 100.0, 53.2, 1.2, 28.4, 25.6 
 2019-04-26 00:59:48.453702 17.4, 54.8, 0.0, 56.5, 99.4, 58.8, 0.0, 35.5, 24.5 
 2019-04-26 00:59:50.097968 19.2, 33.7, 0.0, 54.0, 100.0, 53.6, 0.6, 24.7, 29.3 
 2019-04-26 00:59:51.901015 13.8, 41.7, 11.9, 51.8, 100.0, 61.6, 0.0, 37.1, 47.1 
 2019-04-26 00:59:53.667765 12.1, 39.6, 0.0, 25.9, 100.0, 67.8, 1.1, 62.7, 10.0 
 2019-04-26 00:59:55.434282 2.7, 31.2, 0.6, 40.6, 100.0, 63.7, 0.0, 76.0, 1.1 
 2019-04-26 00:59:57.258464 0.0, 34.0, 0.0, 48.2, 100.0, 49.7, 1.3, 71.5, 3.8 
 2019-04-26 00:59:58.841557 1.7, 34.1, 0.0, 53.0, 100.0, 53.0, 0.0, 74.1, 1.1 
 2019-04-26 01:00:00.609079 0.0, 35.8, 0.5, 46.7, 100.0, 52.0, 0.0, 70.5, 1.1 
 2019-04-26 01:00:02.489927 0.6, 53.5, 5.4, 32.7, 100.0, 74.7, 0.0, 53.5, 1.2 
 2019-04-26 01:00:04.157038 0.0, 32.4, 1.6, 51.4, 100.0, 72.0, 0.0, 51.4, 0.5 
 2019-04-26 01:00:06.016943 0.6, 33.1, 5.1, 51.2, 100.0, 74.7, 0.6, 49.4, 1.7 
 2019-04-26 01:00:07.789326 0.0, 33.3, 0.0, 47.6, 100.0, 74.5, 0.0, 49.4, 0.5 
 2019-04-26 01:00:09.644319 0.5, 33.1, 4.2, 50.0, 100.0, 74.3, 0.0, 50.6, 1.1 
 2019-04-26 01:00:11.536868 0.5, 33.3, 0.0, 50.6, 100.0, 74.2, 0.5, 52.0, 1.1 
 2019-04-26 01:00:13.364747 7.8, 51.5, 0.0, 51.5, 100.0, 59.1, 0.0, 65.1, 5.3 
 2019-04-26 01:00:15.082251 15.6, 33.9, 0.5, 48.9, 100.0, 58.6, 0.0, 48.6, 15.3 
 2019-04-26 01:00:16.902045 34.8, 53.2, 15.9, 48.4, 99.4, 61.3, 12.3, 47.4, 44.8 
 2019-04-26 01:00:18.563084 30.3, 57.7, 48.4, 64.1, 100.0, 56.1, 46.0, 66.9, 1.8 
 2019-04-26 01:00:20.262459 24.8, 37.4, 23.7, 57.1, 100.0, 24.7, 0.6, 57.7, 2.4 
 2019-04-26 01:00:21.941861 43.1, 51.2, 43.6, 61.7, 100.0, 45.7, 16.5, 63.2, 25.2 
 2019-04-26 01:00:23.608120 41.2, 51.9, 28.4, 43.0, 100.0, 55.3, 43.9, 45.7, 40.7 
 2019-04-26 01:00:25.375363 35.2, 42.8, 4.2, 33.6, 100.0, 60.3, 5.6, 61.4, 35.5 
 2019-04-26 01:00:27.030828 28.9, 39.9, 11.4, 57.5, 100.0, 58.1, 0.6, 58.1, 28.1 
 2019-04-26 01:00:28.670357 4.5, 60.7, 1.1, 6.7, 100.0, 63.4, 0.0, 58.7, 0.6 
 2019-04-26 01:00:30.478066 45.3, 59.0, 2.5, 16.2, 99.4, 69.9, 14.8, 71.1, 21.3 
 2019-04-26 01:00:32.130623 60.0, 44.9, 52.2, 42.1, 100.0, 62.6, 51.3, 50.6, 50.6 
 2019-04-26 01:00:33.794755 61.0, 11.3, 42.9, 22.8, 100.0, 65.7, 0.6, 44.6, 45.3 
 2019-04-26 01:00:35.462059 36.6, 63.0, 57.3, 52.3, 100.0, 67.8, 51.7, 60.3, 58.3 
